x1,x2,x3,x4,v1,v2,v3,v4,v5,m,output
0.025878,0.255934,0.49283,0.01277,0.275651,0.033657,1.166214,0.408402,0.525226,A,0.786
0.030768,0.261575,0.49846,0.055779,0.343204,0.027082,1.260579,0.664248,2.866343,A,0.73
0.019325,0.020877,0.25836,0.012424,4.998508,0.030259,1.298285,0.41287,0.409007,A,0.996
0.306212,0.033379,0.255385,0.05619,5.090153,0.052342,1.322005,0.652111,0.861594,A,0.326
0.031296,0.259342,0.264387,0.056594,5.031107,0.517705,1.368195,0.533701,6.451933,A,0.735
0.031073,0.027119,0.260915,0.055192,9.977407,0.532436,1.298797,0.857509,0.958574,A,0.954
0.0244,0.031839,0.02205,0.055759,0.230128,1.005216,1.165449,0.690716,0.208761,A,0.969
0.026049,0.012153,0.262991,0.0571,0.241959,1.010088,1.250971,0.606956,0.009247,A,0.986
0.020688,0.265954,0.49905,0.055509,5.007571,1.017985,1.368636,0.751065,9.339685,A,0.874
0.019491,0.025448,0.26822,0.056907,0.226438,0.507747,5.639952,0.543493,1.353697,A,0.995
0.309742,0.259489,0.260388,0.012335,10.04578,0.515797,5.601901,0.531318,7.748448,A,0.418
0.316642,0.020796,0.496261,0.010947,0.3948,1.003183,5.592378,0.4065,9.802561,A,0.134
0.025971,0.025713,0.50094,0.055806,5.173224,1.000662,5.631754,0.900693,1.018047,A,0.962
0.028094,0.260116,0.492892,0.056064,0.372417,0.042985,10.013361,0.156388,4.757622,A,0.736
0.026528,0.019777,0.497106,0.100882,0.254656,0.04536,10.005786,0.577783,8.280085,A,0.983
0.604882,0.02225,0.020477,0.099824,5.167771,0.048295,9.973842,0.510486,4.694566,A,0.253
0.607021,0.019467,0.017166,0.057474,10.052544,0.038314,9.977294,0.309487,9.971028,A,0.239
0.597947,0.024238,0.020518,0.055707,0.365523,0.524736,9.869722,0.55337,2.764313,A,0.326
0.022825,0.265026,0.498433,0.055722,0.141685,0.51571,9.998998,0.283403,9.416311,A,0.824
0.025879,0.021672,0.262664,0.057160999999999997,5.07083,0.52214,9.969518,0.125631,9.166388,A,0.974
0.313191,0.026005,0.026297,0.012695,10.004096,0.513866,10.109091,0.426898,6.929676,A,0.709
0.03287,0.260814,0.503678,0.012731,5.046529,1.011592,10.058976,0.699008,9.535003,A,0.632
0.209319,0.166974,0.257069,0.056919,4.967285,0.365163,4.005345,0.420673,9.395424,A,0.267
0.201639,0.254993,0.262778,0.040742,6.780132,0.341665,4.05051,0.121043,9.432878,A,0.198
0.306964,0.178252,0.350636,0.072169,7.092203,0.3372,3.850628,0.719506,9.131952,A,0.732
0.207083,0.1717,0.177841,0.0403,5.150635,0.516295,4.177861,0.13471,7.335381,A,0.239
0.312412,0.172364,0.258464,0.040746,5.165052,0.519038,3.94668,0.624996,9.266568,A,0.329
0.318961,0.174189,0.179166,0.072198,4.991562,0.509162,3.941314,0.434663,8.696084,A,0.269
0.205434,0.165653,0.168037,0.071951,6.813871,0.524418,3.918639,0.605084,2.210921,A,0.241
0.417547,0.175878,0.259623,0.055411,6.979743,0.69651,4.013888,0.636351,9.998987,A,0.995
0.311947,0.266318,0.263478,0.071769,6.972022,0.688649,3.902494,0.697223,9.984911,A,0.709
0.206311,0.168049,0.349856,0.039431,3.3570159999999998,0.329375,5.705893,0.596217,9.482514,A,0.355
0.207804,0.168765,0.179805,0.039639,5.236199,0.343206,5.557377,0.72944,1.137332,A,0.326
0.41436,0.167758,0.167353,0.040494,5.049608,0.345173,5.480498,0.065518,0.603667,A,0.438
0.418217,0.173227,0.261736,0.040272,6.970054,0.342772,5.71969,0.795687,6.673832,A,0.991
0.208217,0.265813,0.356647,0.040053,6.897756,0.500639,5.519486,0.278101,9.350424,A,0.17
0.308842,0.170669,0.175222,0.058576,6.961213,0.519186,5.682993,0.510766,1.695584,A,0.377
0.418825,0.178953,0.259635,0.072729,6.839643,0.515065,5.530028,0.744215,9.579363,A,0.996
0.409458,0.170655,0.261595,0.071964,3.248387,0.696619,5.740001,0.124433,0.41821,A,0.983
0.414456,0.178192,0.178771,0.073068,5.236169,0.695182,5.606161,0.596446,3.313151,A,0.562
0.307866,0.176423,0.256949,0.040582,3.247017,0.3415,7.150168,0.626443,9.963743,A,0.235
0.205353,0.257459,0.266347,0.056183,3.446208,0.33625,7.187688,0.661467,9.008496,A,0.161
0.192408,0.265993,0.34788,0.040772,5.202192,0.334172,7.082818,0.055506,6.732842,A,0.159
0.208132,0.257711,0.269465,0.056131,7.017699,0.344154,7.200351,0.320793,8.937405,A,0.139
0.210093,0.2633,0.343645,0.071975,7.027119,0.354859,7.169062,0.202147,9.830361,A,0.158
0.311944,0.175528,0.17174,0.05567,5.184117,0.507578,7.29034,0.569587,8.093281,A,0.37
0.218136,0.266592,0.351157,0.039898,5.057146,0.705553,7.132193,0.634743,9.981757,A,0.122
0.212891,0.259839,0.337437,0.040429,7.00678,0.697698,7.137518,0.279646,1.484738,A,0.088
0.277751,0.217099,0.290513,0.060965,4.488388,0.440651,4.990612,0.399876,8.491355,A,0.239
0.303652,0.229374,0.233057,0.050677,5.218519,0.469376,5.206458,0.122541,3.329216,A,0.222
0.309997,0.261288,0.292039,0.05652,5.282604,0.453918,4.926018,0.179589,3.355828,A,0.803
0.35583,0.230978,0.294793,0.061923,5.659235,0.451477,5.021819,0.399016,9.942024,A,0.986
0.355071,0.224645,0.292102,0.062827,4.27998,0.519426,5.024551,0.645678,8.631338,A,0.982
0.352262,0.265747,0.226837,0.048538,5.117576,0.508851,4.940957,0.10094499999999999,9.995175,A,0.947
0.278757,0.295246,0.256909,0.06229,5.145887,0.518117,4.952205,0.614302,9.461446,A,0.465
0.307791,0.229822,0.271592,0.050385,5.735942,0.523541,5.209703,0.202315,9.617186,A,0.184
0.275422,0.290087,0.295862,0.050073,5.755397,0.522441,5.073844,0.482189,8.761496,A,0.938
0.343984,0.223874,0.290144,0.057012,5.860609,0.539393,4.915402,0.775222,8.886939,A,0.926
0.310301,0.228629,0.266538,0.061518,4.447064,0.58692,5.147343,0.777172,9.263296,A,0.27
0.269773,0.296104,0.259592,0.063213,4.463741,0.580674,5.016128,0.289924,7.62508,A,0.401
0.272353,0.29549,0.297319,0.064123,5.875405,0.578333,5.070444,0.367178,9.889757,A,0.813
0.270623,0.26744,0.259024,0.050605,4.501866,0.454602,5.59295,0.124253,9.745363,A,0.505
0.280862,0.264535,0.271383,0.055242,4.417453,0.460154,5.734841,0.272317,8.222423,A,0.28
0.347582,0.227439,0.221117,0.061764,5.064716,0.454803,5.591074,0.476748,0.269254,A,0.604
0.320432,0.281449,0.262965,0.05019,5.870044,0.443075,5.6327,0.534649,8.784526,A,0.991
0.271076,0.26578,0.230721,0.061004,5.767431,0.454947,5.740705,0.518113,6.163884,A,0.335
0.351167,0.22856,0.250505,0.061614,5.733543,0.463443,5.595573,0.276519,8.913524,A,0.67
0.360621,0.225554,0.232971,0.051212,4.534618,0.523556,5.580552,0.490146,2.332287,A,0.791
0.317137,0.260355,0.287086,0.050609,5.022525,0.520928,5.782909,0.435678,6.40256,A,0.843
0.310457,0.299328,0.264996,0.055392,5.141933,0.531998,5.623085,0.371839,9.866666,A,0.98
0.269315,0.222837,0.254742,0.0564,5.801962,0.514737,5.648384,0.835809,8.295989,A,0.102
0.317613,0.259569,0.265229,0.057545,5.752089,0.530233,5.617094,0.842018,4.39721,A,0.841
0.274502,0.296803,0.291544,0.056145,4.573182,0.584,5.711321,0.743934,8.559442,A,0.928
0.274665,0.232408,0.259435,0.055632,5.865437,0.596423,5.742276,0.437476,7.000428,A,0.063
0.27812,0.226445,0.231901,0.051799,4.501237,0.460986,6.147937,0.087051,6.38603,A,0.198
0.310822,0.292318,0.257517,0.051162,4.340555,0.461974,6.195972,0.155592,5.314226,A,0.872
0.275417,0.292285,0.302764,0.056766,4.450974,0.532069,6.267632,0.529906,2.367816,A,0.844
0.275037,0.225762,0.234397,0.061568,4.509073,0.519443,6.112348,0.156969,0.042456,A,0.122
0.348743,0.2306,0.225639,0.060991,5.12439,0.520721,6.130392,0.484182,0.175107,A,0.621
0.311648,0.218398,0.298393,0.063157,5.174104,0.529334,6.276877,0.471028,7.544444,A,0.569
0.278,0.232122,0.286406,0.056423,5.77763,0.516295,6.168572,0.886956,7.202319,A,0.121
0.310655,0.260476,0.25966,0.061572,5.648182,0.518061,6.104274,0.744667,9.828651,A,0.618
0.319485,0.256304,0.301065,0.060873,5.658706,0.517207,6.124111,0.324182,7.431901,A,0.915
0.349772,0.256359,0.218254,0.04964,4.54843,0.576332,6.073088,0.240451,7.418683,A,0.773
0.27228,0.26361,0.291239,0.050694,4.386012,0.580544,6.253597,0.098215,0.14192,A,0.203
0.282473,0.227256,0.29174,0.057406,4.475327,0.578936,6.154576,0.613301,9.852374,A,0.188
0.315891,0.264703,0.258388,0.061871,4.462851,0.587439,6.075967,0.439287,9.937974,A,0.828
0.270426,0.258187,0.258389,0.052181,5.018694,0.598318,6.292192,0.78978,8.211045,A,0.262
0.344515,0.256548,0.220774,0.057744,5.855816,0.587117,6.29439,0.609546,9.551434,A,0.807
0.280718,0.229071,0.291185,0.055787,5.712017,0.590414,6.097995,0.848375,4.51669,A,0.216
0.274166,0.295519,0.287817,0.05672,5.67328,0.575909,6.161555,0.779509,2.77796,A,0.906
0.203312,0.264655,0.34813499999999997,0.040202,5.184524,0.529819,4.063572,0.461555,9.464652,A,0.124
0.205562,0.267681,0.342274,0.036085,5.002852,0.688885,5.406937,0.364041,9.967258,A,0.172
0.410734,0.164034,0.261629,0.052225,3.273365,0.340674,7.239208,0.300763,2.217029,A,0.983
0.201407,0.300955,0.351448,0.084315,3.205465,0.70654,7.172263,0.552142,8.822785,A,0.249
0.349697,0.194499,0.267358,0.073974,5.104827,0.578405,5.061204,0.277161,4.772401,A,0.789
0.358027,0.189371,0.264244,0.050172,5.707707,0.586597,5.042995,0.359765,9.837571,A,0.76
0.315285,0.209945,0.295703,0.060537,6.02287,0.589125,5.0409,0.825456,9.324203,A,0.646
0.351587,0.16456,0.286601,0.024393,5.023073,0.475434,5.603906,0.640789,6.563247,A,0.778
0.308203,0.199856,0.267271,0.085574,5.123215,0.581082,5.721737,0.272061,9.872712,A,0.481
0.344419,0.160671,0.261483,0.051134,4.586668,0.449541,6.101317,0.57941,1.596345,A,0.643
0.314387,0.185409,0.269388,0.051249,4.482835,0.454066,6.287279,0.324743,7.03445,A,0.306
0.343311,0.185686,0.263528,0.090202,4.543471,0.502366,6.191955,0.924064,2.10038,A,0.727
0.354175,0.169824,0.29468,0.004889,4.506801,0.513797,6.162432,0.793173,7.636468,A,0.801
0.310232,0.181087,0.298304,0.053304,5.018176,0.580115,6.106302,0.706944,5.51426,A,0.405
0.315396,0.020008,0.264225,0.011658,0.165604,0.039034,1.205232,0.544872,0.214592,B,0.446
0.025589,0.266744,0.499538,0.100163,0.346841,0.512949,1.078142,0.539014,9.990258,B,0.772
0.314754,0.257416,0.26054,0.013525,5.107982,0.51158,1.287808,0.046973,8.25573,B,0.667
0.304615,0.024065,0.498893,0.100845,5.33673,0.517662,1.275212,0.502501,9.71027,B,0.098
0.025736,0.268241,0.494804,0.056087,9.922939,0.512935,1.110217,0.880837,6.618406,B,0.873
0.313718,0.021351,0.023441,0.099035,0.244125,1.004755,1.290344,0.404987,0.512099,B,0.259
0.313926,0.263757,0.255353,0.057694,5.334777,0.997916,1.164695,0.419474,0.202211,B,0.797
0.030311,0.027409,0.263774,0.057497,0.231042,0.037427,5.462938,0.55875,0.12173,B,0.912
0.026267,0.262585,0.262157,0.10066,5.136743,0.041619,5.518588,0.849311,9.430231,B,0.701
0.031787,0.019673,0.264184,0.100702,0.318,0.51511,5.613926,0.802943,7.675754,B,0.909
0.303737,0.029502,0.025222,0.099502,9.971908,0.507576,5.520701,0.334297,4.466001,B,0.227
0.32487,0.028918,0.501352,0.099484,0.211617,1.011154,5.661101,0.446539,4.277782,B,0.104
0.020145,0.016075,0.020561,0.011645,9.918804,0.987546,5.6627,0.277545,9.414865,B,0.99
0.604029,0.018892,0.010939,0.012344,0.388558,0.034986,9.904275,0.283802,0.385775,B,0.925
0.019824,0.262945,0.268334,0.099776,0.339451,0.04412,10.048014,0.732872,0.055493,B,0.936
0.308929,0.259995,0.257451,0.013527,0.422168,0.521339,9.99257,0.214347,8.695429,B,0.547
0.031498,0.022969,0.017587,0.054484,0.28724,0.51886,10.006278,0.318657,2.201441,B,0.815
0.020419,0.261358,0.273505,0.012929,10.089302,0.531291,10.000979,0.060133,0.995434,B,0.89
0.321915,0.021158,0.496765,0.056378,9.867782,0.524396,10.047919,0.485014,0.745827,B,0.135
0.021028,0.266362,0.503418,0.099042,0.218127,0.994505,10.05347,0.637565,2.29119,B,0.827
0.607994,0.020233,0.026625,0.098304,10.072024,0.991859,9.857675,0.352555,9.656162,B,0.169
0.208115,0.176987,0.265944,0.071164,3.39034,0.350889,4.167823,0.29217,4.452023,B,0.348
0.217343,0.264949,0.26002,0.071858,3.47056,0.3291,3.934079,0.361331,9.195368,B,0.235
0.321469,0.178834,0.25907,0.05447,6.673106,0.338363,4.007417,0.871847,9.861469,B,0.458
0.31047,0.171025,0.166114,0.039266,3.284576,0.513568,4.117958,0.152381,9.495582,B,0.561
0.430352,0.170786,0.255428,0.039596,3.369326,0.538861,4.004735,0.27763,1.701109,B,0.998
0.308545,0.269738,0.262484,0.041189,3.467207,0.507373,4.11924,0.48733,5.311631,B,0.922
0.206495,0.17547,0.171226,0.071566,3.311527,0.524483,4.03085,0.42161,1.805062,B,0.204
0.201313,0.178444,0.349861,0.040115,6.946122,0.522932,3.905535,0.137004,5.624541,B,0.252
0.303108,0.178778,0.172634,0.072106,3.326215,0.672816,4.103626,0.723306,8.3037,B,0.305
0.311669,0.172653,0.261829,0.073844,5.14474,0.697475,4.011518,0.106609,9.843765,B,0.416
0.312039,0.17605,0.183058,0.056334,6.862071,0.7048,4.078175,0.873441,8.532742,B,0.303
0.197068,0.168586,0.171068,0.057037,3.33545,0.349297,5.607893,0.885923,3.479084,B,0.381
0.319167,0.266441,0.261598,0.040463,6.904405,0.337768,5.678327,0.80529,7.935615,B,0.97
0.4206,0.17872,0.170198,0.05601,7.003248,0.345806,5.753852,0.341598,9.912167,B,0.692
0.20817,0.181153,0.349208,0.040987,5.198799,0.703163,5.755316,0.263949,9.858057,B,0.235
0.318083,0.264286,0.260672,0.056136,3.319483,0.333995,7.194155,0.341667,1.185782,B,0.936
0.309077,0.168979,0.168158,0.074076,3.485919,0.518957,7.105655,0.144145,9.53759,B,0.309
0.41496,0.184606,0.265452,0.040539,5.127507,0.512224,7.189031,0.549636,8.246152,B,0.998
0.208854,0.260092,0.266447,0.05561,6.753488,0.511743,7.188753,0.635652,9.931119,B,0.09
0.305983,0.178799,0.170578,0.03997,5.149663,0.700798,7.323063,0.350646,9.543245,B,0.523
0.309527,0.17736,0.348649,0.039415,4.970062,0.698989,7.281749,0.644524,6.81474,B,0.652
0.314051,0.173652,0.350116,0.072697,5.146737,0.699602,7.297567,0.383764,7.967942,B,0.561
0.317611,0.1784,0.174194,0.055974,6.859376,0.690412,7.337175,0.383305,6.172206,B,0.346
0.315394,0.177364,0.171812,0.073713,6.968401,0.702172,7.267842,0.33813,9.05468,B,0.271
